Player,Team,Position,Cluster
Aaron Cresswell,West Ham,DF,1
Aaron Ramsdale,Southampton,GK,1
Aaron WanBissaka,West Ham,DF,0
Abdoulaye Doucouré,Everton,MF,0
Abdukodir Khusanov,Manchester City,DF,1
Abdul Fatawu Issahaku,Leicester City,FW,1
Adam Armstrong,Southampton,"FW,MF",1
Adam Lallana,Southampton,MF,1
Adam Smith,Bournemouth,DF,1
Adam Webster,Brighton,DF,1
Adam Wharton,Crystal Palace,MF,0
Adama Traoré,Fulham,"FW,MF",0
Albert Grønbaek,Southampton,"FW,MF",1
Alejandro Garnacho,Manchester Utd,"MF,FW",0
Alex Iwobi,Fulham,"FW,MF",0
Alex McCarthy,Southampton,GK,1
Alex Palmer,Ipswich Town,GK,1
Alex Scott,Bournemouth,MF,1
Alexander Isak,Newcastle Utd,FW,0
Alexis Mac Allister,Liverpool,MF,0
Ali Al Hamadi,Ipswich Town,FW,1
Alisson,Liverpool,GK,0
Alphonse Areola,West Ham,GK,1
Amad Diallo,Manchester Utd,"FW,MF",0
Amadou Onana,Aston Villa,MF,0
Andreas Pereira,Fulham,MF,1
Andrew Robertson,Liverpool,DF,1
André,Wolves,MF,1
André Onana,Manchester Utd,GK,0
Andrés García,Aston Villa,"DF,MF",0
Andy Irving,West Ham,MF,0
Anthony Elanga,Nott'ham Forest,FW,0
Anthony Gordon,Newcastle Utd,FW,1
Antoine Semenyo,Bournemouth,FW,1
Antonee Robinson,Fulham,DF,1
Antony,Manchester Utd,"DF,MF",1
Antonín Kinský,Tottenham,GK,1
Archie Gray,Tottenham,"DF,MF",1
Arijanet Muric,Ipswich Town,GK,0
Armando Broja,Everton,FW,1
Armel Bella Kotchap,Southampton,DF,1
Ashley Young,Everton,"DF,FW",1
Axel Disasi,Aston Villa,DF,1
Axel Tuanzebe,Ipswich Town,DF,1
Ayden Heaven,Manchester Utd,DF,1
Bart Verbruggen,Brighton,GK,1
Ben Brereton,Southampton,FW,1
Ben Chilwell,Crystal Palace,DF,1
Ben Davies,Tottenham,DF,1
Ben Godfrey,Ipswich Town,DF,1
Ben Johnson,Ipswich Town,"DF,FW",0
Ben Mee,Brentford,DF,1
Ben White,Arsenal,DF,1
Benoît Badiashile,Chelsea,DF,1
Bernardo Silva,Manchester City,"MF,FW",1
Bernd Leno,Fulham,GK,1
Beto,Everton,FW,0
Bilal El Khannouss,Leicester City,MF,1
Billy Gilmour,Brighton,MF,0
Bobby Reid,Leicester City,FW,0
Boubacar Kamara,Aston Villa,MF,0
Boubakary Soumaré,Leicester City,MF,0
Brajan Gruda,Brighton,"FW,MF",1
Brennan Johnson,Tottenham,FW,1
Bruno Fernandes,Manchester Utd,MF,0
Bruno Guimarães,Newcastle Utd,MF,1
Bryan Mbeumo,Brentford,FW,1
Bukayo Saka,Arsenal,"FW,MF",1
Caleb Okoli,Leicester City,DF,1
Callum HudsonOdoi,Nott'ham Forest,"FW,MF",1
Callum Wilson,Newcastle Utd,FW,0
Calvin Bassey,Fulham,DF,1
Cameron Archer,Southampton,FW,1
Cameron Burgess,Ipswich Town,DF,1
Caoimhín Kelleher,Liverpool,GK,1
Carlos Baleba,Brighton,MF,1
Carlos Forbs,Wolves,"MF,FW",0
Carlos Soler,West Ham,"MF,FW",1
Casemiro,Manchester Utd,MF,0
Charlie Taylor,Southampton,DF,1
Cheick Doucouré,Crystal Palace,MF,1
Chiedozie Ogbene,Ipswich Town,FW,1
Chris Richards,Crystal Palace,DF,0
Chris Wood,Nott'ham Forest,FW,1
Christian Eriksen,Manchester Utd,MF,0
Christian Nørgaard,Brentford,MF,0
Christian Walton,Ipswich Town,GK,0
Christopher Nkunku,Chelsea,FW,0
Cody Gakpo,Liverpool,FW,0
Cole Palmer,Chelsea,MF,1
Conor Bradley,Liverpool,DF,1
Conor Chaplin,Ipswich Town,"MF,FW",1
Conor Coady,Leicester City,DF,1
Conor Townsend,Ipswich Town,DF,0
Craig Dawson,Wolves,DF,1
Cristian Romero,Tottenham,DF,1
Crysencio Summerville,West Ham,"FW,MF",1
Curtis Jones,Liverpool,"MF,DF",1
Daichi Kamada,Crystal Palace,MF,0
Dan Burn,Newcastle Utd,DF,0
Dango Ouattara,Bournemouth,FW,0
Daniel Muñoz,Crystal Palace,DF,0
Danilo,Nott'ham Forest,"MF,FW",0
Danny Ings,West Ham,"FW,MF",1
Danny Ward,Leicester City,GK,1
Danny Welbeck,Brighton,FW,0
Dara OShea,Ipswich Town,DF,1
Darwin Núñez,Liverpool,FW,1
David Brooks,Bournemouth,"FW,MF",0
David Raya,Arsenal,GK,1
Dean Henderson,Crystal Palace,GK,1
Dean Huijsen,Bournemouth,DF,1
Declan Rice,Arsenal,MF,0
Dejan Kulusevski,Tottenham,"MF,FW",0
Destiny Udogie,Tottenham,DF,0
Diego Carlos,Aston Villa,DF,1
Diego Gómez,Brighton,MF,1
Diogo Dalot,Manchester Utd,DF,0
Diogo Jota,Liverpool,FW,1
Djed Spence,Tottenham,DF,1
Dominic CalvertLewin,Everton,FW,0
Dominic Solanke,Tottenham,FW,1
Dominik Szoboszlai,Liverpool,MF,1
Donyell Malen,Aston Villa,FW,1
Dwight McNeil,Everton,"MF,FW",1
Eberechi Eze,Crystal Palace,"MF,FW",1
Eddie Nketiah,Crystal Palace,"FW,MF",0
Ederson,Manchester City,GK,0
EdmondParis Maghoma,Brentford,"MF,FW",1
Edson Álvarez,West Ham,MF,0
Elliot Anderson,Nott'ham Forest,MF,1
Emerson Palmieri,West Ham,DF,0
Emi Buendía,Aston Villa,"MF,FW",1
Emil Krafth,Newcastle Utd,DF,1
Emile Smith Rowe,Fulham,MF,0
Emiliano Martínez,Aston Villa,GK,0
Emmanuel Agbadou,Wolves,DF,1
Enes Ünal,Bournemouth,"FW,MF",0
Enzo Fernández,Chelsea,MF,1
Erling Haaland,Manchester City,FW,1
Ethan Nwaneri,Arsenal,"FW,MF",1
Ethan Pinnock,Brentford,DF,1
Evan Ferguson,West Ham,FW,1
Evanilson,Bournemouth,FW,1
Ezri Konsa,Aston Villa,DF,1
Fabian Schär,Newcastle Utd,DF,1
Fabio Carvalho,Brentford,"FW,MF",1
Facundo Buonanotte,Leicester City,"FW,MF",0
Ferdi Kadioglu,Brighton,"DF,MF",1
Filip Jørgensen,Chelsea,GK,1
Flynn Downes,Southampton,MF,1
Fraser Forster,Tottenham,GK,1
Gabriel Jesus,Arsenal,FW,0
Gabriel Magalhães,Arsenal,DF,0
Gabriel Martinelli,Arsenal,"FW,MF",1
George Hirst,Ipswich Town,FW,0
Georginio Rutter,Brighton,"MF,FW",0
Gonçalo Guedes,Wolves,"MF,FW",1
Guglielmo Vicario,Tottenham,GK,1
Guido Rodríguez,West Ham,MF,1
Hamza Choudhury,Leicester City,"MF,DF",1
Harrison Reed,Fulham,MF,1
Harry Amass,Manchester Utd,DF,1
Harry Clarke,Ipswich Town,DF,0
Harry Maguire,Manchester Utd,DF,1
Harry Toffolo,Nott'ham Forest,DF,1
Harry Wilson,Fulham,"FW,MF",0
Harry Winks,Leicester City,MF,1
Harvey Barnes,Newcastle Utd,FW,1
Harvey Elliott,Liverpool,"MF,FW",1
Hwang Heechan,Wolves,"MF,FW",1
Hákon Rafn Valdimarsson,Brentford,GK,1
Ian Maatsen,Aston Villa,DF,1
Ibrahim Sangaré,Nott'ham Forest,MF,1
Ibrahima Konaté,Liverpool,DF,0
Idrissa Gana Gueye,Everton,MF,0
Igor,Brighton,DF,1
Iliman Ndiaye,Everton,FW,1
Illia Zabarnyi,Bournemouth,DF,0
Ismaila Sarr,Crystal Palace,"MF,FW",1
Issa Diop,Fulham,DF,1
Jack Clarke,Ipswich Town,"FW,MF",0
Jack Grealish,Manchester City,"FW,MF",0
Jack Harrison,Everton,FW,1
Jack Hinshelwood,Brighton,"DF,MF",1
Jack Stephens,Southampton,DF,1
Jack Taylor,Ipswich Town,MF,0
Jacob Greaves,Ipswich Town,DF,1
Jacob Murphy,Newcastle Utd,FW,1
Jacob Ramsey,Aston Villa,"FW,MF",0
Jaden Philogene Bidace,Aston Villa,"FW,MF",1
