Player,Squad,Pos,Cluster,Min,Gls,Ast,xG,npxG,xAG,PrgC,PrgP,PrgR,CrdY,CrdR
Aaron Cresswell,West Ham,DF,1,589.0,0,0,0.1,0.1,1.1,4,24,2,2,0
Aaron Ramsdale,Southampton,GK,1,2070.0,0,0,0.0,0.0,0.0,0,0,0,2,0
Aaron Wan-Bissaka,West Ham,DF,0,2614.0,2,2,1.0,1.0,2.5,91,116,126,1,0
Abdoulaye Doucouré,Everton,MF,0,2155.0,2,1,3.2,3.2,2.0,35,67,79,4,1
Abdukodir Khusanov,Manchester City,DF,1,503.0,0,0,0.0,0.0,0.1,1,25,2,1,0
Abdul Fatawu Issahaku,Leicester City,FW,1,579.0,0,2,0.4,0.4,1.6,42,17,60,0,0
Adam Armstrong,Southampton,"FW,MF",1,1248.0,2,2,3.3,2.3,1.2,25,21,79,4,0
Adam Lallana,Southampton,MF,1,361.0,0,2,0.2,0.2,0.9,6,24,10,4,0
Adam Smith,Bournemouth,DF,1,1146.0,0,0,0.6,0.6,0.2,10,33,19,5,0
Adam Webster,Brighton,DF,1,617.0,0,0,0.0,0.0,0.5,7,40,2,0,0
Adam Wharton,Crystal Palace,MF,1,1009.0,0,0,0.3,0.3,2.3,11,98,10,2,0
Adama Traoré,Fulham,"FW,MF",0,1482.0,2,5,3.8,3.8,4.1,80,56,135,2,0
Albert Grønbaek,Southampton,"FW,MF",1,143.0,0,0,0.1,0.1,0.0,1,1,3,0,0
Alejandro Garnacho,Manchester Utd,"MF,FW",0,1822.0,4,1,6.0,6.0,2.8,118,46,241,2,0
Alex Iwobi,Fulham,"FW,MF",0,2463.0,8,5,4.1,4.1,6.2,119,171,202,1,0
Alex McCarthy,Southampton,GK,1,450.0,0,0,0.0,0.0,0.0,0,0,0,0,0
Alex Palmer,Ipswich Town,GK,1,630.0,0,0,0.0,0.0,0.0,0,1,0,1,0
Alex Scott,Bournemouth,MF,1,503.0,0,0,0.5,0.5,0.3,9,46,22,1,0
Alexander Isak,Newcastle Utd,FW,0,2188.0,20,5,16.3,14.7,3.8,72,68,174,1,0
Alexis Mac Allister,Liverpool,MF,0,2291.0,4,3,2.4,2.4,4.1,31,156,65,6,0
