Player,First_Name,Nation,Team,Position,Age,Matches Played,Starts,Minutes,Goals,Assists,Yellow Cards,Red Cards,xG,xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,xG/90,xAG/90,GA90,Save%,CS%,PK Save%,SoT%,SoT/90,G/Sh,Dist,Cmp,Cmp%,TotDist,Short Cmp%,Medium Cmp%,Long Cmp%,KP,1/3,PPA,CrsPA,PrgP (Passing),SCA,SCA90,GCA,GCA90,Tkl,TklW,Att (Challenges),Lost (Challenges),Blocks,Sh (Blocks),Pass (Blocks),Int,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Att (Take-Ons),Succ% (Take-Ons),Tkld%,Carries,ProDist,ProgC (Carries),1/3 (Carries),CPA,Mis,Dis,Rec,PrgR (Receiving),Fls,Fld,Off,Crs,Recov,Won (Aerial),Lost (Aerial),Won% (Aerial)
Aaron Cresswell,Aaron,engENG,West Ham,DF,35-130,14,7,589,0,0,2,0,0.1,1.1,4,24,2,0.00,0.00,0.02,0.17,N/a,N/a,N/a,N/a,0.0,0.00,0.00,29.8,355,80.7,6769,90.8,85.9,54.9,7,40,4,1,24,12,1.83,0,0.00,8,4,440,2,7,3,3,6,495,33,3,4,1,1,440,100.0,0.0,200,2697,4,40,0,3,0,312,2,3,0,0,27,21,7,2,53.8
Aaron Ramsdale,Aaron,engENG,Southampton,GK,26-345,25,25,2250,0,0,2,0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,2.32,67.7,8.0,28.6,N/a,0.00,N/a,N/a,675,65.3,18762,99.5,95.9,39.5,0,32,1,0,0,3,0.12,0,0.00,0,0,1033,2,0,0,0,2,1111,803,0,0,0,0,1033,N/a,N/a,687,14526,0,32,0,2,0,621,0,1,0,0,0,18,4,2,100.0
Aaron WanBissaka,Aaron,engENG,West Ham,DF,27-149,31,30,2704,2,2,1,0,1.0,2.7,93,118,131,0.07,0.07,0.03,0.09,N/a,N/a,N/a,N/a,30.8,0.13,0.15,15.5,1234,80.9,17639,89.7,82.1,47.9,27,85,27,11,118,75,2.50,5,0.17,61,43,1525,7,31,13,22,57,1900,134,29,27,5,38,1525,53.7,34.7,887,6513,93,85,12,28,20,1090,131,22,0,4,61,153,22,7,44.0
Abdoulaye Doucouré,Abdoulaye,mlMLI,Everton,MF,32-113,29,28,2335,3,1,5,1,3.7,2.3,38,74,88,0.12,0.04,0.14,0.09,N/a,N/a,N/a,N/a,32.1,0.35,0.11,13.9,657,79.8,9948,84.9,83.2,74.1,26,43,14,0,74,53,2.04,2,0.08,42,25,823,21,29,28,23,9,1055,31,19,16,7,56,823,56.1,43.9,559,2071,38,43,8,32,34,680,88,46,0,9,22,134,29,21,42.0
Abdukodir Khusanov,Abdukodir,uzUZB,Manchester City,DF,21-054,6,6,503,0,0,1,0,0.0,0.1,1,25,2,0.00,0.00,0.00,0.02,N/a,N/a,N/a,N/a,0.0,0.00,0.00,23.9,360,91.1,6126,94.7,97.0,26.1,2,23,0,0,25,5,0.89,0,0.00,5,4,395,1,5,1,1,3,445,45,4,1,0,1,395,0.0,100.0,274,1976,1,23,0,2,1,332,2,3,0,0,1,27,6,1,60.0
Abdul Fatawu Issahaku,Abdul,ghGHA,Leicester City,FW,21-047,11,6,579,0,2,0,0,0.4,1.6,42,17,60,0.00,0.31,0.06,0.24,N/a,N/a,N/a,N/a,38.5,0.78,0.00,31.2,123,62.4,2150,72.8,76.3,48.5,6,7,7,2,17,17,2.64,3,0.47,21,15,197,8,7,13,7,4,326,19,13,2,6,26,197,42.0,40.6,217,601,42,7,15,18,12,216,60,11,4,2,30,38,14,8,51.9
Adam Armstrong,Adam,engENG,Southampton,"FW,MF",28-073,20,15,1248,2,2,4,0,3.3,1.2,25,21,79,0.14,0.14,0.24,0.09,N/a,N/a,N/a,N/a,28.0,0.50,0.08,16.6,231,80.2,3320,87.3,85.3,46.2,9,10,8,2,21,19,1.37,4,0.29,12,3,288,11,6,25,5,3,377,11,2,7,3,49,288,42.9,57.1,235,446,25,10,6,11,18,286,79,12,0,9,14,23,5,11,35.7
Adam Lallana,Adam,engENG,Southampton,MF,36-349,14,5,361,0,2,4,0,0.2,0.9,6,24,10,0.00,0.50,0.04,0.23,N/a,N/a,N/a,N/a,0.0,0.00,0.00,18.1,221,85.0,2891,89.1,91.0,44.4,4,21,9,3,24,9,2.24,2,0.50,8,5,260,10,4,3,3,5,318,19,4,4,0,6,260,41.7,41.7,178,980,6,21,0,10,6,245,10,8,1,0,4,19,2,10,50.0
Adam Smith,Adam,engENG,Bournemouth,DF,33-360,21,16,1319,0,0,5,0,0.7,0.2,12,39,31,0.00,0.00,0.04,0.02,N/a,N/a,N/a,N/a,0.0,0.00,0.00,16.9,415,75.7,6761,87.7,78.8,35.3,6,39,6,3,39,17,1.16,1,0.07,20,10,548,12,10,3,7,14,671,34,10,5,5,6,548,40.0,40.0,293,2196,12,39,0,10,6,320,31,13,1,0,28,40,12,12,50.0
Adam Webster,Adam,engENG,Brighton,DF,30-110,11,8,617,0,0,0,0,0.0,0.5,7,40,2,0.00,0.00,0.00,0.07,N/a,N/a,N/a,N/a,100.0,0.15,0.00,15.3,429,85.6,7934,95.5,91.8,50.6,3,32,2,0,40,10,1.46,3,0.44,8,5,501,6,12,1,3,14,569,84,4,3,1,8,501,33.3,66.7,326,3140,7,32,0,3,1,384,2,5,0,1,1,20,17,6,81.0
